CVE-2015-1465	v3.16.35~2890
CVE-2015-1350	v3.2.84~8
CVE-2015-1421	v3.2.67~22
CVE-2015-1420	v3.2.70~55
CVE-2015-1573	v3.18.5~11
CVE-2015-1593	v3.2.69~167
CVE-2015-2041	v3.2.69~46
CVE-2015-2666	v3.12.40~42
CVE-2015-2150	v3.2.69~95
CVE-2015-2042	v3.2.69~45
CVE-2015-2922	v3.2.69~44
CVE-2015-2925	v3.2.72~79
CVE-2015-3288	v3.2.71~33
CVE-2015-3331	v3.2.69~90
CVE-2015-3636	v3.2.69~42
CVE-2015-4003	v3.12.45~106
CVE-2015-4002	v3.12.45~107
CVE-2015-4001	v3.16.35~1899
CVE-2015-4036	v3.12.44~80
CVE-2015-4178	v3.18.15~119
CVE-2015-4177	v3.12.44~102
CVE-2015-4167	v3.2.69~215
CVE-2015-4170	v3.12.7~148
CVE-2015-4700	v3.2.70~64
CVE-2015-5156	v3.2.72~18
CVE-2015-5283	v3.12.49~11
CVE-2015-5257	v3.2.72~21
CVE-2015-5327	v4.3.2~2
CVE-2015-5364	v3.2.70~40
CVE-2015-5366	v3.2.70~40
CVE-2015-5697	v3.2.72~20
CVE-2015-5706	v3.12.47~14
CVE-2015-6252	v3.2.71~5
CVE-2015-5707	v3.2.70~132
CVE-2015-6526	v3.2.70~126
CVE-2015-7509	v3.2.66~14
CVE-2015-7513	v3.2.76~29
CVE-2015-6937	v3.2.72~17
CVE-2015-7515	v3.2.79~4
CVE-2015-7550	v3.2.76~40
CVE-2015-7566	v3.2.78~56
CVE-2015-7613	v3.2.72~15
CVE-2015-7799	v3.2.75~3
CVE-2015-7833	v4.5.3~149
CVE-2015-7872	v3.2.73~2
CVE-2015-7990	v4.3.3~35
CVE-2015-7884	v4.1.17~7
CVE-2015-7885	v3.12.53~24
CVE-2015-8104	v3.2.74~13
CVE-2015-8215	v3.2.72~19
CVE-2015-8374	v3.2.74~38
CVE-2015-8551	v3.2.76~47
CVE-2015-8552	v3.2.76~47
CVE-2015-8569	v3.2.75~7
CVE-2015-8553	v3.2.76~43
CVE-2015-8709	v3.16.52~10
CVE-2015-8746	v3.14.54~60
CVE-2015-8575	v3.2.75~6
CVE-2015-8660	v3.18.31~160
CVE-2015-8767	v3.2.77~6
CVE-2015-8787	v4.1.30^0
CVE-2015-8785	v3.2.74^0
CVE-2015-8844	v3.12.54~26
CVE-2015-8812	v3.2.78~4
CVE-2015-8816	v3.2.76~41
CVE-2015-8845	v3.14.60~14
CVE-2015-8955	v3.16.39~21
CVE-2015-8961	v4.3.3~17
CVE-2015-8950	v3.14.46^0
CVE-2015-8956	v3.16.39~20
CVE-2015-8953	v4.1.13~26
CVE-2015-8962	v3.2.85~22
CVE-2015-8963	v3.2.85~21
CVE-2015-9004	v3.2.95~103
CVE-2015-8964	v3.2.85~19
CVE-2015-8970	v3.2.77~21
CVE-2015-8967	v3.18.54~21
CVE-2016-0617	v4.4.3~29
CVE-2016-0723	v3.2.78~45
CVE-2015-9289	v3.2.71~105
CVE-2016-0728	v3.12.53~16
CVE-2016-0758	v3.12.60~4
CVE-2016-0823	v3.2.69~88
CVE-2016-10044	v3.16.43~3
CVE-2016-10147	v4.4.39~9
CVE-2016-10088	v3.2.85~4
CVE-2016-10150	v4.8.13~10
CVE-2016-10153	v4.9.6~53
CVE-2016-10200	v3.2.88~3
CVE-2016-10154	v4.9.1~18
CVE-2016-10229	v3.2.76~26
CVE-2016-10208	v3.12.71~25
CVE-2016-10318	v4.1.50~25
CVE-2016-10905	v3.16.74~31
CVE-2016-10764	v4.9.6~19
CVE-2016-10907	v4.8.6~60
CVE-2016-10906	v3.16.74~30
